x,y,z,u,v,w,pressure
0.0,0.0,0.0,-1.1243715,1.268557,-0.002981875,0.02059805
0.0,0.0,0.03448276,-1.0475767,1.4190089,-0.23010746,-0.11204742
0.0,0.0,0.06896552,-0.9857645,1.4889019,-0.36171138,-0.21011552
0.0,0.0,0.10344828,-1.6764867,1.7962395,0.02176717,-0.203284
0.0,0.0,0.13793103,-1.4309312,1.5557314,0.016835159,-0.1707273
0.0,0.0,0.1724138,0.18904683,0.69776344,-0.7450638,-0.22296275
0.0,0.0,0.20689656,1.3032155,0.15655085,-1.3179488,-0.28231704
0.0,0.0,0.2413793,-2.5562873,2.2678578,0.43042156,-0.03186942
0.0,0.0,0.27586207,-3.845756,3.0490575,0.9388,0.13502736
0.0,0.0,0.31034482,-4.2757697,3.6087987,0.8093024,0.36892515
0.0,0.0,0.3448276,-7.0578823,5.2015033,1.9988263,0.38191736
0.0,0.0,0.37931034,-3.2809453,3.4941578,-0.0705508,0.32082623
0.0,0.0,0.41379312,1.4330224,1.2864959,-2.5768561,0.21098731
0.0,0.0,0.44827586,3.1594872,0.50997496,-3.5268326,0.16351224
0.0,0.0,0.4827586,4.1352954,0.01171599,-4.0043583,0.036248468
0.0,0.0,0.51724136,4.0291343,0.062012535,-3.9484506,-0.10942046
0.0,0.0,0.55172414,-0.04345739,2.3154135,-2.12923,-0.38189954
0.0,0.0,0.5862069,-3.188539,3.9829116,-0.65162194,-0.49654967
0.0,0.0,0.62068963,-6.362348,5.641148,0.8639108,-0.4934482
0.0,0.0,0.6551724,-9.986944,7.353664,2.775927,-0.67977697
0.0,0.0,0.6896552,-9.295277,6.8245454,2.6134067,-0.8825014
0.0,0.0,0.7241379,-5.894318,5.036716,1.0003524,-0.9318097
0.0,0.0,0.7586207,-5.228618,4.689976,0.6814054,-0.9376307
0.0,0.0,0.79310346,-5.1380754,4.6452146,0.6356231,-0.9350217
0.0,0.0,0.82758623,-5.0680404,4.613979,0.59682083,-0.92729014
0.0,0.0,0.86206895,-4.890961,4.5323358,0.5013727,-0.9068635
0.0,0.0,0.8965517,-4.309115,4.2491193,0.20270133,-0.8438726
0.0,0.0,0.9310345,-3.2408013,3.7240567,-0.34066832,-0.71754175
0.0,0.0,0.9655172,-3.1042933,3.6914186,-0.4446566,-0.64949125
