epoch,loss_pde,loss_bc,loss_total,div_residual
100,6.227328412933275e-07,5.276393011399705e-08,1.1503720998007338e-06,0.0003151787677779794
200,2.7655875101118e-07,3.388957381389446e-08,6.154544962555519e-07,0.00025993550661951303
300,1.8786141708915238e-07,2.5325626040739735e-08,4.41117663285695e-07,0.00022274132061284035
400,1.449454458679611e-07,1.9013022267699853e-08,3.350756685449596e-07,0.00019798625726252794
500,1.1747553685381718e-07,1.4463352293603293e-08,2.621090402499249e-07,0.00018024336895905435
600,9.620653429465165e-08,1.1221189311072521e-08,2.0841842740537686e-07,0.00016470113769173622
700,7.874885454839387e-08,8.909192494854778e-09,1.678407812732985e-07,0.00015014306700322777
800,6.436034993839712e-08,7.238091015437931e-09,1.367412636454901e-07,0.00013637477240990847
900,5.259424540327018e-08,6.003075370131228e-09,1.1262500265729614e-07,0.0001233927469002083
1000,4.305222134348696e-08,5.067704034189546e-09,9.372926257356085e-08,0.0001112850004574284
1100,3.8911483812853476e-08,4.675085651939526e-09,8.566233589135663e-08,0.0001054271197062917
1200,3.5119775532166386e-08,4.3200749644256575e-09,7.832052517642296e-08,9.966062498278916e-05
1300,3.1639213915468645e-08,3.9962668729742745e-09,7.160188175703297e-08,9.398477413924411e-05
1400,2.8468241097812097e-08,3.7014669107549025e-09,6.548290798491507e-08,8.84264154592529e-05
1500,2.559765022169813e-08,3.433147766074285e-09,5.992912832653019e-08,8.301045454572886e-05
1600,2.3013734917753936e-08,3.1889251239647365e-09,5.490298349286604e-08,7.777626888127998e-05
1700,2.0699271630064686e-08,2.9662872158553455e-09,5.036214290043972e-08,7.274955714819953e-05
1800,1.863504550669859e-08,2.7630673304912534e-09,4.626571836752191e-08,6.795889203203842e-05
1900,1.6800283830775697e-08,2.577172475426437e-09,4.2572008140950857e-08,6.34362586424686e-05
2000,1.5173947431890156e-08,2.4066346693274454e-09,3.924029456925382e-08,5.91921379964333e-05
2100,1.4418250593450921e-08,2.3249655534129943e-09,3.7667906127580864e-08,5.7139906857628375e-05
2200,1.3696817902086877e-08,2.2453159331803363e-09,3.614997723389024e-08,5.512755524250679e-05
2300,1.3003082166562763e-08,2.166866908126508e-09,3.467174991556021e-08,5.3143139666644856e-05
2400,1.2338170485293176e-08,2.089908912594751e-09,3.32372600553299e-08,5.1208797231083736e-05
2500,1.1703090052606058e-08,2.014412858741821e-09,3.1847218195935056e-08,4.932502270094119e-05
2600,1.109839686819214e-08,1.940446914261429e-09,3.050286778716327e-08,4.750951484311372e-05
2700,1.0524164650860257e-08,1.8681021174415946e-09,2.9205185825276203e-08,4.576557330437936e-05
2800,9.980235304851703e-09,1.7974305377421729e-09,2.7954540016139617e-08,4.409061511978507e-05
2900,9.465763284310924e-09,1.7284861320021605e-09,2.6750624826377134e-08,4.248858385835774e-05
3000,8.980780563661028e-09,1.6612511366531635e-09,2.5593291042014243e-08,4.096470365766436e-05
